name,id,institution,longitude,latitude,keywords
chic.i2.sox.net,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/0/3:link=sox,Southern Crossroads (SoX),,,
obs-fast-newy.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-1/1/0:link=obs_fast,Internet2,,,
obs-fast-wash.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-1/1/2:link=obs_fast,Internet2,,,
ad10-m7i-1.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=ad10-m71-1:port=ge-0/3/0:link=*,,,,
af10-m7i-1.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=af10-m71-1:port=ge-0/3/0:link=*,,,,
port4.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=ad10-m71-1:port=ge-0/3/0:link=*,,,,
port2.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=ad10-m71-1:port=ge-0/1/0:link=*,,,,
port5.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=af10-m71-1:port=ge-0/3/0:link=*,,,,
port1.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=af10-m71-1:port=ge-0/1/0:link=*,,,,
port3.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=ac10-m71-1:port=ge-0/3/0:link=*,,,,
